index,code,longitude,latitude
96,GR,22.99180011,37.88235395
532,AL,20.31541819,39.9918002
39,PT,-8.880836741,41.75166426
789,DK,10.43180014,57.58569112
512,NL,4.738818189,52.95666421
866,IT,10.09082716,44.01860916
517,AL,19.59916327,41.77971816
1152,BG,22.55847315,42.48332713
718,DK,8.108327182,56.01777314
629,HR,14.99055401,44.5794361
692,CZ,16.44736332,50.57881818
510,NL,5.078054096,52.41610907
59,GR,26.36110023,41.71105411
1254,ES,0.703609225,40.79687312
843,IT,16.59500015,38.80082715
543,AT,10.47123615,46.87135404
514,NL,5.981663326,53.39889107
1177,BG,26.07763617,41.71430009
914,IT,12.41580015,43.95795402
742,DK,10.23936321,56.17260919
76,GR,23.35360916,40.2452822
1032,PL,23.50403615,53.94704508
1285,ES,-7.257154971,38.72340015
851,IT,15.66374505,40.03305409
618,BA,18.48173605,42.9661732
818,HU,21.43819122,48.575345
1087,SK,17.78728229,47.74642708
6,PT,-8.136108833,41.80916412
1074,RS,22.54166325,43.47561807
416,DE,9.97200916,54.76075404
568,AT,14.70028216,48.58138215
212,FR,2.650554012,50.81610919
352,BE,6.134409095,50.12784497
1299,ES,-8.218336812,41.90749122
75,GR,23.67110911,40.218327
804,HU,16.50486334,47.00676419
609,BA,19.10444507,44.35582704
943,IT,8.148191179,40.620827
402,DE,9.234445097,53.88638223
296,CH,8.576418087,47.5913731
655,HR,18.84673608,44.86277309
405,DE,8.827363216,54.15166427
638,HR,14.82609118,45.46544501
708,DK,8.664545082,54.91309111
904,IT,13.63000013,45.77000012
1033,PL,23.93319128,53.01208217
871,IT,6.976391221,44.28416411
1271,ES,-5.172636833,36.41187309
503,NL,5.600554114,52.65819117
408,DE,9.011245074,54.50346415
359,BE,4.824727166,50.16757318
808,HU,17.05389124,47.70944512
628,HR,15.52229122,44.26325395
150,FR,-1.439517862,43.04937315
549,AT,9.670345135,47.39069106
193,FR,-3.226108794,48.86958216
890,IT,10.24180016,46.63444508
221,FR,5.472782226,49.50888215
821,HU,22.8948002,47.95453599
1294,ES,-6.545626775,41.68700911
901,IT,13.47971814,46.01221801
350,BE,6.270418215,50.61985397
668,HR,17.65444505,43.04721816
853,IT,14.94194517,40.23416411
93,GR,24.0740272,38.19500011
562,AT,12.75971818,48.12172713
1082,RS,20.52513609,42.213054
386,DE,7.208363242,53.24280914
1099,SK,20.07336324,49.17787325
1075,RS,23.00500027,43.1927731
931,IT,12.95555414,38.03277324
1124,SI,14.5450002,46.40749113
1236,ES,-3.150590864,43.35356415
1109,SK,19.93986333,48.13624509
888,IT,10.13639119,46.23069115
1053,RS,19.1673541,45.21430006
1049,RS,19.61856335,44.05261806
1251,ES,3.175282274,41.8674911
920,IT,12.45669126,41.90139121
243,FR,7.146945014,45.43054511
382,DE,7.053091167,52.23776413
165,FR,-1.786390856,46.48832705
493,NL,4.283609097,51.44805407
1300,ES,-8.083754962,42.06048208
340,BE,3.439863252,51.24478219
1306,ES,-8.864863851,42.24964503
1166,BG,28.54166324,43.43777311
1098,SK,19.78347328,49.20020013
761,DK,11.08639124,55.66638214
533,AL,20.4133272,39.82013598
213,FR,2.898054011,50.70304503
144,FR,1.738609147,42.61639119
190,FR,-4.354163934,48.67416412
182,FR,-4.722236773,48.0391731
597,BA,16.12986319,44.49235399
98,GR,23.17971819,37.29040903
622,HR,17.57852714,42.94382705
276,FR,8.684545141,42.26881814
734,DK,10.18777326,56.46860906
385,DE,7.053473214,52.64958212
267,FR,3.081391212,43.06944512
339,BE,3.370863257,51.37385411
913,IT,13.59944507,43.57000015
112,GR,21.11097329,37.88569112
595,BA,17.25471812,43.46402707
163,FR,-1.070972955,45.90394511
968,ME,20.3461092,42.88874504
604,BA,17.86034516,45.0493732
2,PT,-8.745008838,41.9525002
129,GR,20.82082717,39.11360909
477,NL,7.053091167,52.23776413
1140,MK,22.77680011,41.32805411
784,DK,8.24583616,56.80666329
760,DK,11.24541807,55.20207315
1231,ES,-7.46360879,43.7263912
1197,RO,21.17736333,46.29736416
946,IT,9.233054036,41.25471815
137,GR,25.76572711,35.32996418
1091,SK,17.18790916,48.86944503
450,DE,12.455554,49.69554513
537,AL,19.28979125,40.42145405
265,FR,4.652782145,43.35971814
80,GR,22.89943607,40.39666423
29,PT,-8.768890892,38.51721807
283,FR,9.552573192,42.1183271
1007,PL,14.76076329,52.06986422
1310,ES,-9.02937295,42.52416427
661,HR,16.02242714,45.21437315
1278,ES,-6.432499916,36.69235403
5,PT,-8.218336812,41.90749122
990,PL,19.47555417,49.60000015
887,IT,9.94694509,46.37958208
848,IT,15.90610913,38.4727732
620,BA,18.45555417,42.56582702
795,HU,21.17736333,46.29736416
879,IT,7.038054033,45.93193614
807,HU,16.45055414,47.69805411
1284,ES,-7.317081891,38.44471813
1160,BG,22.89444515,43.83610914
952,IT,9.713609167,40.04055405
892,IT,10.47123615,46.87135404
185,FR,-4.566526828,48.33207317
200,FR,-1.609717771,49.21500006
526,AL,20.51916331,41.24638218
149,FR,-0.754099798,42.96437311
215,FR,3.297082224,50.52430011
277,FR,8.575836047,42.38360914
410,DE,8.280554003,54.77499121
44,GR,20.4133272,39.82013598
1133,SI,15.31583606,45.75666418
389,DE,7.295836113,53.68527321
1060,RS,19.56527322,46.1727732
41,GR,20.73332714,38.95340008
79,GR,23.29458229,40.23583613
850,IT,16.22110909,38.86860908
101,GR,23.11381816,36.77054512
836,IT,17.85721821,40.28443608
346,BE,5.238973227,51.26228209
665,HR,16.1454822,44.19867323
730,DK,10.31189114,56.98130913
1114,SI,14.82609118,45.46544501
83,GR,22.59500015,40.01221802
35,PT,-9.476045913,38.70527311
214,FR,3.158573286,50.78436424
268,FR,2.961318102,42.8422181
642,HR,15.65916334,46.22090008
23,PT,-7.431854956,37.2531912
528,AL,20.98349125,40.85589111
1257,ES,0.047500162,40.03373604
217,FR,4.149236125,49.97837317
302,CH,9.474636078,47.05745408
133,GR,23.84853606,35.52298214
227,FR,7.802218066,48.57582713
1210,RO,28.06916329,45.58331804
47,GR,20.79192721,40.43154502
679,CZ,12.67444506,49.42500009
733,DK,10.34305406,56.69263604
1035,PL,23.16540022,52.28227321
529,AL,21.04208226,40.56402704
830,IT,15.8976362,41.61332715
306,CH,10.47123615,46.87135404
393,DE,8.286036103,53.42089122
902,IT,13.91833609,45.63639108
180,FR,-4.367363924,47.80874502
838,IT,17.31700924,40.48829117
46,GR,20.66708228,40.09624509
922,IT,15.08139121,36.64916426
676,CZ,14.70028216,48.58138215
709,DK,8.676109091,55.11416425
1095,SK,19.15958224,49.40027314
1215,RO,29.54943606,44.82026411
91,GR,23.31750025,38.64402705
375,DE,6.080836162,50.91471809
263,FR,4.707500215,43.57208221
658,HR,16.91392721,45.26594499
270,FR,2.020554075,42.35263599
1135,MK,20.58964506,41.88219112
1229,RO,25.53193605,43.64360013
842,IT,17.1691632,38.96333599
279,FR,9.117636068,42.72943607
706,DK,9.445354066,54.82540014
719,DK,8.17555407,56.66777314
104,GR,22.63250011,36.80360904
399,DE,8.659027108,53.89263614
1273,ES,-5.355799858,36.16330909
1005,PL,15.03381821,51.28666421
1012,PL,14.27562712,53.69906413
294,CH,7.385418206,47.43332712
174,FR,-2.83187285,47.49728222
1157,BG,22.36721824,43.82694504
371,DE,6.134409095,50.12784497
422,DE,10.76221811,54.0565181
870,IT,7.662218154,44.17082704
136,GR,24.32708222,35.35138212
349,BE,6.011800124,50.75727326
1092,SK,17.71221816,48.85610909
552,AT,10.23173618,47.37374503
429,DE,12.37437326,54.2624271
1186,RO,22.46152722,44.48332702
1247,ES,2.020554075,42.35263599
1024,PL,18.59520925,54.42777321
600,BA,16.02242714,45.21437315
442,DE,14.82833619,50.86582712
175,FR,-2.700281832,47.63708214
501,NL,5.878054118,52.50943603
246,FR,6.749027067,44.91832701
683,CZ,12.32305405,50.2066642
817,HU,20.6529182,48.56166423
740,DK,10.35569112,56.19749121
1039,PL,24.14347328,50.8595821
106,GR,22.15246332,37.01853613
788,DK,10.64595408,57.73626329
95,GR,23.51166335,38.03930006
34,PT,-9.118472917,38.71721816
561,AT,13.00889121,47.85416421
275,FR,8.570554108,42.22166423
598,BA,15.74059118,44.81224497
721,DK,8.762573284,56.56058218
796,HU,20.26102718,46.11485408
956,IT,8.646391221,38.89027312
770,DK,12.05624516,55.74680013
179,FR,-3.982217819,47.88971806
1168,BG,27.94500015,43.16721801
353,BE,5.973054106,50.17000008
586,AT,12.1602733,46.92805409
745,DK,10.04444507,55.81569116
1125,SI,14.86750012,46.61332704
806,HU,16.71389124,47.54388208
388,DE,7.015000111,53.4098541
643,HR,16.29250916,46.5308181
981,PL,22.8860733,49.00291812
1180,BG,24.25819119,41.56958217
1085,SK,18.84971819,47.81777317
891,IT,10.45752705,46.54250013
1026,PL,19.62725405,54.46327326
812,HU,18.84971819,47.81777317
792,DK,9.115545119,57.05277323
88,GR,22.82360918,39.21221816
315,CH,8.822218069,46.09860912
509,NL,5.029718175,52.62409108
317,CH,8.441454023,46.46208213
791,DK,10.33661809,56.99166329
55,GR,24.25819119,41.56958217
1015,PL,14.21889119,53.86901811
763,DK,11.2111091,55.69888213
1141,MK,22.73774513,41.15610909
542,AL,19.59916327,41.77971816
865,IT,10.58889125,42.95750011
960,ME,18.45555417,42.56582702
684,CZ,12.51541823,50.39249116
1243,ES,0.716109157,42.85888216
1097,SK,19.77801817,49.40749113
918,IT,12.44874505,41.90636419
1022,PL,18.8209733,54.59374512
1264,ES,-1.327499761,37.55805409
702,CZ,17.71221816,48.85610909
790,DK,10.53027325,57.22256327
332,BE,4.149236125,49.97837317
418,DE,9.866036087,54.45729109
1001,PL,16.33200922,50.6640271
138,GR,25.78402715,35.11389112
1222,RO,28.76305412,44.62558217
1038,PL,23.73193608,51.21471814
1107,SK,21.43819122,48.575345
554,AT,10.47374502,47.43763609
1044,RS,19.98555409,42.72763614
1054,RS,19.42500023,45.21791802
822,HU,22.01388229,47.51061816
864,IT,11.18715412,42.51250018
1238,ES,-1.385136745,43.25256423
861,IT,11.83076325,42.03027319
162,FR,-1.238854932,45.70621803
178,FR,-3.216945865,47.65055403
497,NL,4.06110913,51.86027322
16,PT,-7.017217795,39.67500014
338,BE,2.541663198,51.09110904
1069,RS,22.46610911,44.71374503
1131,SI,15.65916334,46.22090008
743,DK,10.18458227,55.82819109
681,CZ,12.54597328,49.90958222
1021,PL,18.74000026,54.68527316
974,ME,19.36777329,41.84900012
578,AT,16.45200924,47.4128451
188,FR,-4.760626729,48.33500013
99,GR,23.12889117,37.44805402
978,ME,18.45555417,42.56582702
261,FR,5.039118145,43.44311808
1013,PL,14.52500014,53.66055398
934,IT,14.31194507,38.01221813
1059,RS,18.81701821,45.91296421
1052,RS,19.03971817,44.8613822
1122,SI,13.38347327,46.29513608
326,CH,6.128682244,46.58805409
81,GR,22.94492717,40.62651815
814,HU,19.47242722,48.08943602
997,PL,17.00221815,50.2169451
875,IT,6.623963204,45.11571815
472,DE,7.588273172,47.58448217
454,DE,13.44322718,48.56023612
829,IT,16.19277323,41.78999119
148,FR,-0.555836774,42.78000007
1270,ES,-4.639717775,36.508327
337,BE,2.650554012,50.81610919
1274,ES,-5.61360876,36.00610012
748,DK,9.819163312,55.60471815
1252,ES,2.117363212,41.28930004
582,AT,14.86750012,46.61332704
1073,RS,22.36721824,43.82694504
928,IT,12.43080023,37.8032541
224,FR,6.729236053,49.1676361
572,AT,16.94618228,48.61906417
873,IT,7.031663334,44.8313822
824,IT,13.59944507,43.57000015
1188,RO,22.46610911,44.71374503
160,FR,-0.539926748,44.89561809
397,DE,8.560863286,53.51543607
726,DK,9.318263291,56.5254092
729,DK,9.302573206,56.99985409
1146,MK,20.51916331,41.24638218
186,FR,-4.192154989,48.29937319
77,GR,23.71847323,39.91389108
773,DK,12.09152711,55.72527322
207,FR,0.075836023,49.52256427
387,DE,7.350900188,53.30725407
446,DE,12.51541823,50.39249116
365,DE,8.226082193,48.96441803
189,FR,-4.776663823,48.51110912
381,DE,6.736391181,52.07666412
1103,SK,21.61263606,49.43652705
