year,population,milesDriven,gallonsUsed,gasPriceUnadjusted,gasPriceType,cpiMultiplier,milesPerCapita,fuelEfficiency,gasPriceAdjusted,dollarsPerMile
1949,149188130,424461000000,36945300000,0.268,Leaded Regular,9.945378151260503,2845.139221196753,11.48890386598566,2.665361344537815,0.23199439873711114
1950,152271417,458246000000,40103280000,0.268,Leaded Regular,9.821576763485476,3009.402611653637,11.426646398997788,2.632182572614108,0.23035477608241842
1951,154877889,491093000000,45760050000,0.272,Leaded Regular,9.103846153846153,3170.83996412167,10.731915721245933,2.4762461538461538,0.23073663809565134
1952,157552740,513581000000,45284820000,0.274,Leaded Regular,8.898496240601503,3259.7401987423386,11.341129323247834,2.438187969924812,0.21498634751715998
1953,160184192,544433000000,47676300000,0.287,Leaded Regular,8.832089552238806,3398.7935588550463,11.419363499264835,2.534809701492537,0.22197469251729532
1954,163025854,561963000000,48964020000,0.29,Leaded Regular,8.799256505576208,3447.0790136146134,11.47706009433049,2.5517843866171,0.22233780825785227
1955,165931202,605646000000,53087790000,0.291,Leaded Regular,8.832089552238806,3649.982599414907,11.408385996101929,2.5701380597014922,0.22528498427206697
1956,168903031,627843000000,54390840000,0.299,Leaded Regular,8.70220588235294,3717.180184883716,11.543175284661903,2.601959558823529,0.22541107577920141
1957,171984130,645004000000,55417950000,0.31,Leaded Regular,8.423487544483985,3750.3692927946317,11.63890039238189,2.6112811387900354,0.22435806225296162
1958,174881904,664653000000,56889630000,0.304,Leaded Regular,8.190311418685122,3800.5819058328643,11.683201314545375,2.489854671280277,0.2131140775756772
1959,177829628,700480000000,59173800000,0.305,Leaded Regular,8.106164383561644,3939.05114619033,11.837671401870422,2.4723801369863017,0.20885696629454092
1960,180671158,718762000000,60844770000,0.311,Leaded Regular,7.996621621621621,3978.2885545018758,11.813044900983273,2.486949324324324,0.21052568115755826
1961,183691481,737421000000,61979190000,0.308,Leaded Regular,7.916387959866221,4014.4539963723196,11.897880562814713,2.438247491638796,0.20493124626408027
1962,186537737,766734000000,64370670000,0.306,Leaded Regular,7.811881188118812,4110.342563017155,11.911232242883289,2.3904356435643566,0.2006875187067729
1963,189241798,805249000000,66440220000,0.304,Leaded Regular,7.735294117647058,4255.132896169164,12.119902673410774,2.3515294117647056,0.19402213657405057
1964,191888791,846298000000,67497990000,0.304,Leaded Regular,7.635483870967741,4410.356621612151,12.53812150554409,2.321187096774193,0.18513037186214967
1965,194302963,887812000000,70410690000,0.312,Leaded Regular,7.514285714285714,4569.214932661629,12.60905126764132,2.344457142857143,0.18593446034070277
1966,196560338,925899000000,73706640000,0.321,Leaded Regular,7.283076923076923,4710.507772936369,12.561948285798946,2.337867692307692,0.18610709414801596
1967,198712056,964005000000,76006140000,0.332,Leaded Regular,7.086826347305389,4851.2657933547825,12.683251642564667,2.352826347305389,0.18550655727821125
1968,200706052,1015869000000,80651130000,0.337,Leaded Regular,6.801724137931035,5061.476671366143,12.595843356441502,2.2921810344827587,0.1819791632539269
1969,202676946,1061791000000,84713580000,0.348,Leaded Regular,6.44959128065395,5238.834613187826,12.533893621306053,2.2444577656675744,0.17907107188561713
